parameter,i,j,value
class,92,5,0.12279879
class,92,6,0.9022734
class,92,7,0.9129837
class,92,8,0.22953878
class,92,9,0.8454423
class,93,0,0.8877547
class,93,1,0.161707
class,93,2,0.13599695
class,93,3,0.87088555
class,93,4,0.19527161
class,93,5,0.59939104
class,93,6,0.436783
class,93,7,0.8992122
class,93,8,0.15110108
class,93,9,0.8676543
class,94,0,0.1645289
class,94,1,0.9127787
class,94,2,0.92098475
class,94,3,0.8948522
class,94,4,0.16559692
class,94,5,0.75194496
class,94,6,0.0809596
class,94,7,0.9119554
class,94,8,0.28295895
class,94,9,0.7992958
class,95,0,0.1278124
class,95,1,0.94499534
class,95,2,0.8868943
class,95,3,0.94970864
class,95,4,0.87531716
class,95,5,0.92388284
class,95,6,0.8954636
class,95,7,0.026786124
class,95,8,0.051835027
class,95,9,0.13000007
class,96,0,0.6536152
class,96,1,0.08671063
class,96,2,0.17681164
class,96,3,0.07507735
class,96,4,0.7353707
class,96,5,0.37731788
class,96,6,0.36588454
class,96,7,0.8922045
class,96,8,0.16607037
class,96,9,0.10599892
class,97,0,0.1078275
class,97,1,0.91100556
class,97,2,0.9448921
class,97,3,0.20155299
class,97,4,0.91389066
class,97,5,0.083375566
class,97,6,0.93925554
class,97,7,0.8933516
class,97,8,0.27384508
class,97,9,0.9251101
class,98,0,0.10339119
class,98,1,0.098935
class,98,2,0.8897397
class,98,3,0.8648738
class,98,4,0.92559916
class,98,5,0.39099616
class,98,6,0.76180494
class,98,7,0.90819305
class,98,8,0.130998
class,98,9,0.07552777
class,99,0,0.07561638
class,99,1,0.07256453
class,99,2,0.18100101
class,99,3,0.14100897
class,99,4,0.17347567
class,99,5,0.7322717
class,99,6,0.112282306
class,99,7,0.8705883
class,99,8,0.16197872
class,99,9,0.14205047
class,100,0,0.10031291
class,100,1,0.9245354
class,100,2,0.7392591
class,100,3,0.11391819
class,100,4,0.24557517
class,100,5,0.7758196
class,100,6,0.8938684
class,100,7,0.9100082
class,100,8,0.19652148
class,100,9,0.9127707
class,101,0,0.9281918
class,101,1,0.10683465
class,101,2,0.9382471
class,101,3,0.07503925
class,101,4,0.7919379
class,101,5,0.9038513
class,101,6,0.0956112
class,101,7,0.89845854
class,101,8,0.9566062
class,101,9,0.85221374
class,102,0,0.7649092
class,102,1,0.32153293
class,102,2,0.12145879
class,102,3,0.0818715
class,102,4,0.07973479
class,102,5,0.83654207
class,102,6,0.9091784
class,102,7,0.8050238
class,102,8,0.11133711
class,102,9,0.17295942
class,103,0,0.05947012
class,103,1,0.8311218
class,103,2,0.27428633
class,103,3,0.07671651
class,103,4,0.16931866
class,103,5,0.13014139
class,103,6,0.1595156
class,103,7,0.86932284
class,103,8,0.5734
class,103,9,0.10544393
class,104,0,0.081768304
class,104,1,0.9339681
class,104,2,0.91720194
class,104,3,0.09964941
class,104,4,0.8419661
class,104,5,0.9246475
class,104,6,0.21664758
class,104,7,0.08050433
class,104,8,0.2934664
class,104,9,0.13582644
class,105,0,0.12413679
class,105,1,0.08234151
class,105,2,0.42841983
class,105,3,0.90066564
class,105,4,0.75050616
class,105,5,0.24300648
class,105,6,0.8675955
class,105,7,0.91723895
class,105,8,0.9074958
class,105,9,0.88327134
class,106,0,0.92687684
class,106,1,0.23185374
class,106,2,0.8583527
class,106,3,0.9398146
class,106,4,0.86861664
class,106,5,0.20325655
